ID,CPUmodel,GPUmodel,TotCred,RAC
2840083,INTEL(R) PENTIUM(R) CPU G4400 @ 3.30GHZ [FAMILY 6 MODEL 94 STEPPING 3],[CAL|OLAND|1|1024MB||102],1140.0,58.800324
2812882,INTEL(R) CORE(TM) I5-6500 CPU @ 3.20GHZ [FAMILY 6 MODEL 94 STEPPING 3],[CUDA|NVIDIA GEFORCE GTX 750 TI|1|2047MB|51694|300],185252.0,1362.669048
2843237,INTEL(R) CORE(TM) I3-2120 CPU @ 3.30GHZ [FAMILY 6 MODEL 42 STEPPING 7],NONE,37320.0,1343.558537
2827462,INTEL(R) CORE(TM) I5-8250U CPU @ 1.60GHZ [FAMILY 6 MODEL 142 STEPPING 10],[INTEL|INTEL(R) UHD GRAPHICS 620|1|2968MB||201],224522.0,939.391193
2839577,INTEL(R) CORE(TM) I7-7700 CPU @ 3.60GHZ [FAMILY 6 MODEL 158 STEPPING 9],[CUDA|NVIDIA GEFORCE GTX 1050 TI|1|4095MB|51694|300],49860.0,1030.816752
2835361,INTEL(R) CORE(TM) I3-4170 CPU @ 3.70GHZ [FAMILY 6 MODEL 60 STEPPING 3],[INTEL|INTEL(R) HD GRAPHICS 4400|1|1488MB||102],88050.0,8.111135
2847193,AMD A8-7410 APU WITH AMD RADEON R5 GRAPHICS     [FAMILY 22 MODEL 48 STEPPING 1],[CAL|MULLINS|1|2559MB||102],3780.0,343.252041
2838030,INTEL(R) CORE(TM) I7-4790 CPU @ 3.60GHZ [FAMILY 6 MODEL 60 STEPPING 3],[CUDA|NVIDIA GEFORCE GTX 760|1|2048MB|47298|300],4310.0,102.325606
2833912,INTEL(R) CORE(TM) I5-4460T CPU @ 1.90GHZ [FAMILY 6 MODEL 60 STEPPING 3],[INTEL|INTEL(R) HD GRAPHICS 4600|1|1488MB||102],95520.0,119.723514
2824431,11TH GEN INTEL(R) CORE(TM) I3-1115G4 @ 3.00GHZ [FAMILY 6 MODEL 140 STEPPING 1],NONE,103072.0,389.889426
2824728,INTEL(R) CORE(TM) I3-8100 CPU @ 3.60GHZ [FAMILY 6 MODEL 158 STEPPING 11],[INTEL|INTEL(R) UHD GRAPHICS 630|1|3229MB||201],183582.0,1167.948105
2827723,INTEL(R) PENTIUM(R) CPU G3260 @ 3.30GHZ [FAMILY 6 MODEL 60 STEPPING 3],[INTEL|INTEL(R) HD GRAPHICS|1|1496MB||102],22760.0,214.637231
2837326,INTEL(R) CORE(TM) I3-3240 CPU @ 3.40GHZ [FAMILY 6 MODEL 58 STEPPING 9],[INTEL|INTEL(R) HD GRAPHICS 2500|1|1624MB||101],157900.0,413.584871
2808319,INTEL(R) CORE(TM) I7-3537U CPU @ 2.00GHZ [FAMILY 6 MODEL 58 STEPPING 9],[CUDA|GEFORCE GT 630M|1|2048MB|38934|101][INTEL|INTEL(R) HD GRAPHICS 4000|1|1400MB||102],552528.0,2540.76961
2828014,PENTIUM(R) DUAL-CORE  CPU      E5800  @ 3.20GHZ [FAMILY 6 MODEL 23 STEPPING 10],NONE,120040.0,968.743933
2838778,INTEL(R) CORE(TM) I5-2520M CPU @ 2.50GHZ [FAMILY 6 MODEL 42 STEPPING 7],NONE,570.0,10.489906
2840465,INTEL(R) CORE(TM) I3-1005G1 CPU @ 1.20GHZ [FAMILY 6 MODEL 126 STEPPING 5],NONE,3070.0,12.651804
2844574,INTEL(R) CORE(TM) I5-6500 CPU @ 3.20GHZ [FAMILY 6 MODEL 94 STEPPING 3],[INTEL|INTEL(R) HD GRAPHICS 530|1|1297MB||200],5790.0,374.295593
2843458,INTEL(R) PENTIUM(R) CPU G3220 @ 3.00GHZ [FAMILY 6 MODEL 60 STEPPING 3],[INTEL|INTEL(R) HD GRAPHICS|1|1400MB||102],2090.0,57.802954
2820686,INTEL(R) CORE(TM) I3-6300 CPU @ 3.80GHZ [FAMILY 6 MODEL 94 STEPPING 3],NONE,205378.0,886.377535
2838359,AMD A8-5500 APU WITH RADEON(TM) HD GRAPHICS     [FAMILY 21 MODEL 16 STEPPING 1],[CAL|AMD RADEON HD 7500/7600/8500/8600 SERIES (DEVASTATOR)|1|512MB|1.4.1848|102],14520.0,3.439309
2843387,INTEL(R) CORE(TM) I5-4460  CPU @ 3.20GHZ [FAMILY 6 MODEL 60 STEPPING 3],[INTEL|INTEL(R) HD GRAPHICS 4600|1|1488MB||102],87680.0,2572.213213
2843538,INTEL(R) CORE(TM) I7-3632QM CPU @ 2.20GHZ [FAMILY 6 MODEL 58 STEPPING 9],[CUDA|GEFORCE GT 635M|1|2048MB|39135|101][INTEL|INTEL(R) HD GRAPHICS 4000|1|1297MB||102],8250.0,265.524518
2824535,INTEL(R) CORE(TM) I5-6400T CPU @ 2.20GHZ [FAMILY 6 MODEL 94 STEPPING 3],[CAL|HAINAN|1|2048MB||102][INTEL|INTEL(R) HD GRAPHICS 530|1|1638MB||201],98030.0,310.816197
2844405,INTEL(R) PENTIUM(R) CPU G2030 @ 3.00GHZ [FAMILY 6 MODEL 58 STEPPING 9],[INTEL|INTEL(R) HD GRAPHICS|1|1400MB||102],3540.0,175.297365
2812160,INTEL(R) CORE(TM) I7-4700MQ CPU @ 2.40GHZ [FAMILY 6 MODEL 60 STEPPING 3],[CUDA|GEFORCE GT 740M|1|2048MB|41972|102][INTEL|INTEL(R) HD GRAPHICS 4600|1|1629MB||102],258184.0,1658.886951
2846659,INTEL(R) CORE(TM) I5-1035G1 CPU @ 1.00GHZ [FAMILY 6 MODEL 126 STEPPING 5],[CUDA|NVIDIA GEFORCE MX330|1|2047MB|51659|300],3200.0,238.532984
2846231,INTEL(R) CORE(TM) I5-1035G1 CPU @ 1.00GHZ [FAMILY 6 MODEL 126 STEPPING 5],[CUDA|GEFORCE MX230|1|2048MB|44114|102],6670.0,524.312991
2837738,INTEL(R) CORE(TM) I5-4570 CPU @ 3.20GHZ [FAMILY 6 MODEL 60 STEPPING 3],[INTEL|INTEL(R) HD GRAPHICS 4600|1|1629MB||102],37860.0,62.152387
2837094,INTEL(R) CORE(TM) I5-6200U CPU @ 2.30GHZ [FAMILY 6 MODEL 78 STEPPING 3],[CAL|AMD RADEON (TM) R5 M330|1|2048MB||102],23760.0,8.895026
2847141,INTEL(R) CORE(TM) I3-7020U CPU @ 2.30GHZ [FAMILY 6 MODEL 142 STEPPING 9],NONE,840.0,79.447919
2818918,INTEL(R) CORE(TM) I5-6400 CPU @ 2.70GHZ [FAMILY 6 MODEL 94 STEPPING 3],NONE,4554.0,1.687519
2812983,INTEL(R) CORE(TM) I3-4170 CPU @ 3.70GHZ [FAMILY 6 MODEL 60 STEPPING 3],[CUDA|GEFORCE GT 730|1|2048MB|39135|101],196934.0,1039.884047
2811489,INTEL(R) CORE(TM) I5-6400 CPU @ 2.70GHZ [FAMILY 6 MODEL 94 STEPPING 3],[CUDA|GEFORCE GT 730|1|2048MB|35362|101],123986.0,37.305339
2819876,INTEL(R) CORE(TM) I3-7100 CPU @ 3.90GHZ [FAMILY 6 MODEL 158 STEPPING 9],NONE,5470.0,9.156576
2843390,INTEL(R) CORE(TM) I3-4150 CPU @ 3.50GHZ [FAMILY 6 MODEL 60 STEPPING 3],[CUDA|GEFORCE GT 705|1|1024MB|38813|101],8980.0,384.026864
2841178,11TH GEN INTEL(R) CORE(TM) I7-11800H @ 2.30GHZ [FAMILY 6 MODEL 141 STEPPING 1],[CUDA|NVIDIA GEFORCE RTX 3070 LAPTOP GPU|1|4095MB|51278|300],282970.0,5182.517956
