ID,CPUmodel,GPUmodel,TotCred,RAC
709544,AMD RYZEN 5 3500X 6-CORE PROCESSOR [FAMILY 23 MODEL 113 STEPPING 0],[CUDA|NVIDIA GEFORCE GTX 1650 SUPER|1|4095MB|51694|300],219480.784803,285.306004
709571,INTEL(R) CORE(TM) I7-9750H CPU @ 2.60GHZ [X86 FAMILY 6 MODEL 158 STEPPING 10],[CAL|AMD RADEON PRO 5300M COMPUTE ENGINE|1|4080MB||102][INTEL|INTEL(R) UHD GRAPHICS 630|1|1536MB||102],5539.690021,13.265704
709581,INTEL(R) CORE(TM) I7-10700F CPU @ 2.90GHZ [FAMILY 6 MODEL 165 STEPPING 5],[CUDA|NVIDIA GEFORCE GT 1030|1|2047MB|51694|300],324447.814812,305.519005
709593,DUAL CORE AMD OPTERON(TM) PROCESSOR 280 [FAMILY 15 MODEL 33 STEPPING 2],[CAL|AMD RADEON HD 7850/7870 SERIES (PITCAIRN)|1|2048MB|1.4.1848|102],229934.668409,262.402825
709628,ARMV7 PROCESSOR REV 3 (V7L) [IMPL 0X41 ARCH 7 VARIANT 0X2 PART 0XC0F REV 3],[OPENCL_GPU|MALI-T628|1|2775MB|101],58373.850488,52.45267
709629,INTEL(R) CORE(TM) I7-3770 CPU @ 3.40GHZ [FAMILY 6 MODEL 58 STEPPING 9],[INTEL|INTEL(R) HD GRAPHICS 4000|1|1400MB||102],113573.667401,81.427037
709634,AARCH64 PROCESSOR REV 1 (AARCH64) [IMPL 0X41 ARCH 8 VARIANT 0X1 PART 0XD05 REV 0],NONE,1087.965037,6.685369
709643,ARMV7 PROCESSOR REV 0 (V7L) [IMPL 0X41 ARCH 7 VARIANT 0X3 PART 0XC09 REV 0],NONE,28076.413878,45.52152
709644,INTEL(R) CORE(TM) I5-4690S CPU @ 3.20GHZ [FAMILY 6 MODEL 60 STEPPING 3],[INTEL|INTEL(R) HD GRAPHICS 4600|1|1629MB||102],1.47702376659e6,3503.634278
709646,INTEL(R) CORE(TM) I7-6700 CPU @ 3.40GHZ [FAMILY 6 MODEL 94 STEPPING 3],[CUDA|GEFORCE GT 730|1|2048MB|39135|101],3295.747789,1.760898
